year,data from source,predicted data
5,1966,486300.0,557340.1224975586
6,1967,463700.0,533337.559387207
7,1968,421000.0,512523.73193359375
8,1969,385600.0,494775.89141845703
10,1971,546000.0,467987.17578125
11,1972,589600.0,458700.802734375
12,1973,565000.0,451989.4212036133
13,1974,529400.0,447730.28216552734
14,1975,497100.0,445800.63671875
16,1977,390400.0,448438.8311767578
17,1978,388000.0,452761.1732788086
20,1981,529900.0,476268.19232177734
21,1982,571600.0,487208.03326416016
22,1983,565500.0,499495.3768310547
25,1986,489500.0,543214.9334106445
26,1987,484900.0,559664.798034668
27,1988,520500.0,576848.420715332
34,1995,617300.0,707368.098815918
35,1996,643000.0,726002.8259887695
36,1997,627800.0,744266.5713500977
37,1998,662000.0,762036.5857543945
40,2001,947800.0,811156.7552490234
41,2002,993600.0,825724.3574829102
42,2003,975300.0,839184.4845581055
43,2004,994200.0,851414.3874511719
44,2005,977600.0,862291.317199707
